"","line_text_star_final","line_text_final"
"146","10","생각보다 더 재밌었던 영화 마지막 결말까지 완벽했습니당"
"147","10","보는내내 너무 즐거웠던 영화였고 곳곳에 깨알 웃음들 너무 좋았어요~"
"148","10","갠적으로 최근에 개봉했던 영화들 중 제일 재밌었다"
"149","10","코로나 때문에 한동안 영화관도 못갔는데 코로나로 인해 지친 심신을 달래주는 영화였어요 ~ 오랜만에 제대로된 영화 봤네요"
"150","10","코로나 시국에 상큼하고 맛난 에플 사이다 같은 영화 김영광 능글스러운 연기는 물올랐네 비주얼부터 큰 키까지 새로운 스타 탄생 이선빈도 Good Job 특별히 조연들의 이미지 캐스팅 매우 인상적이였습니다"
"151","10","솔직히 기대안하고 봤어요 액션+코미디까지 ~김영광님 능청스러운 연기와 쉽게보여지는 흐름도베테랑같이 너무 찰떡이였고 액션신에선 변하는눈빛과 칼싸움역시도 멋있었어요 그리고 이선빈님과 케미도 맞았고 억지로 짜내는 거짓 눈"
"152","10","김영광 코믹 넘어울린다 기럭지가 길어서 액션 존나 잘하고 멋있고 코믹에 액션둘다 최고다 한국영화 액션 이정도면최고다  존나 윳기고 멋있음"
"153","10","와~ 이렇게 재밌게 본 영화는 극한직업 빼고 처음입니다 진짜 재밌음"
"154","10","코믹 액션 오랫만에 재미있게 본 영화"
"155","9","액션신 간결하고 좋고 스토리 구성 자체는 살짝 미흡했지만 유쾌하고 좋았어요"
"156","10","병맛 억지 전개 근데웃음이라는 포인트로 시종일관 터트림 너무 자주 터트림 너무 웃김어떤식이냐면 이거 이럴거 같은데  라고 생각하기전에 뻔한전개로 터트리는데 그 뻔한 전개가 나오는데도 상상이상으로"
"157","10","재밌다 완전 잼있다"
"158","10","정말 오랫만에 웃고 왔습니다잔인하지않고 액션의 시원함과 배우의 케미와자연스러운 연출까지미션파서블보러 1년만에 극장갔는데정말 보길잘했습니다"
"159","6","킬링타임용 그렇다고 개망 영화는데 아닌데 이게 9점 이상이란건 알바가 존재한다는 소리  진짜 어떻게 9점 중반이냐"
"160","10","정말 배잡고 봤어요 재밌었습니다"
"161","10","생각없이 즐기기 진짜 좋은 영화 가끔 빵~~터지는 포인트도 좋구연기도내용도 재밌었어요"
"162","10","그냥 너무 재밌어요 인생ㅇㅔ서 이렇게 웃긴영화는 처음이였던것같아첨부터 끝까지 웃음을 주는 영화였어요"
"163","10","와~큰 기대는 안하고 봤는데 대박~감독제작사 칭찬합니다"
"164","10","두 배우님의 시원시원한 액션이 아주 굿굿굿특히 김영광 배우님은 첫 액션 영화라는게 믿기지 않을만큼 액션장인이네요  재밌어요 꼭 보세요"
"165","10","기대이상임개억지 웃음이 아니라 자연스러운 코미디가 굿"
"166","10","최고재밌음 스토리 다 좋아요ㅇㅇ"
"167","10","정말 재밌어요 진짜 또 보러가고싶어요"
"168","10","재밋게봤어용ㅎㅎㅎㅎ"
"169","10","완전  재밌음  ㅎㅎ  강추합니당  짱  짱"
"170","10","생각보다 꿀잼이네"
"171","6","이 정도에 만족하자 요새 볼 만한게 없었다"
"172","9","앤드게임이후로 영화관 처음가서 기대하고갔는데 기대이상으로 재미있네요  한번쯤 꼭 보세용"
"173","10","미쳤다 연기랑 스토리 전부다"
"174","10","기대 안하고 봤는데 엄첨 웃기고 재미있어요 강력 추천해요"
"175","10","아 기분도 꿀꿀했는데 많이 웃었다"
"176","10","즐거웠습니당~ 잘보고왔어요"
"177","10","간만에 웃었습니다"
"178","10","재미있어요~~진짜 간만에 재미있는 영화를 보았네요"
"179","9","배우들간의 호흡도 잘 맞고 흐름도 좋았답니다"
"180","10","진짜 너무 재밌어욬이렇게 웃긴 영화 첨인듯시즌 2 나오면 좋겠어욥"
"181","8","배우들연기도 좋고 재미있게 볼만합니다"
"182","10","진짜 너무너무너무 재밌어요 제가 영화 좋아하는데 인정합니다"
