"","line_text_star_final","line_text_final"
"118","1","졸릴걸 예상하고 팝콘먹으며 겨우 봤음 슈퍼맨만 있음 되고 나머진 슈퍼맨 다시 살릴려는 것 뿐이라니 아쿠아맨은 결국 힘으로만 빨라봤자 별 소용없고 아이언맨같은 애는 별 힘이 없었음"
"119","4","개연성이 크게 없고 떡밥들은 그냥 아무것도 아니며 우리 이런 영웅있어쿵쾅쿵쾅 잘써워만 보여주기 위한 영화 전편의 배트맨과 수퍼맨의 대립 갈등 가치관 충돌따위 없는 그냥 3류 히어로물이다 만원이 안아깝다"
"120","9","요란하게 슈퍼맨 살리기살아돌아와서 좋다"
"121","1","원더우먼 재미있게 봤던 사람이네요 저스티스리그 너무너무 루즈 합니다 밸런스 붕괴는 말할것도없고 스토리도 아쉽고 영상미 하나만 볼만해서 1점남기네요"
"122","1","내가 이야기를 짜도 이거보다는 낫겠다라는 생각이 수십번 드는 영화 하품만 열댓번 했습니다 올해 들어 저지른 최고의 돈OO이자 사치는 이걸 구천원 주고 본 거네요 얼마나 똥망인가 한번 보자"
"123","6","제발 각본 좀 왜 항상 시작은 멋있게 해놓고 마무리가 신파극인지"
"124","7","정말 개연성 너무부족 어벤저스의 성공 때문에 돈좀벌어보겠다고 급하게 만든것같다 조금만 더 탄탄하게 나올수도 있었을텐데"
"125","6","그냥 기대털고 영혼없이 보면 본전"
"126","1","파워레인져보다 유치함"
"127","1","겁나 재밌는 영화 저스티스리그"
"128","1","이게 어떻게8 점이냐 5넘이적당한데"
"129","1","너무나도 뻔한 인물들의 순차적인 등장 및 소개그보다 더 심각한 CG 그중 하이라이트는 알록달록 꽃들이 만개하며 영화의 끝을 알리는 장면이였습니다과장 안보태고 저랑 같이 봤던 친구들은 자다깨다를 수없이 반복했더"
"130","3","스토리도 긴장감도 전혀 없네요 정말 재미없습니다  중간에 잤습니다"
"131","9","재밌었어요 원더우먼 멋있음"
"132","7","뜬금없이 너무나 강해진 슈퍼맨"
"133","1","ㅠㅠ 이게 뭐지ㅜㅜ엉엉"
"134","1","굉장히 실망스러운 영화였다기승전 슈퍼맨"
"135","1","원래 원더우먼이 슈퍼맨과 90로는 동급인데 너무약하게나왔다"
"136","1","공짜로  보여줘도 안 볼란다~~~"
"137","1","언제까지 그래 이정도면 DC치고는 선방했어로 자위만 할거냐 마블 영화들 보면서 뭔가 본 받아야겠다는 생각은 들지 않냐"
"138","1","다갑이 합동해서 죽일수있게좀하지  슈퍼맨만 밸붕이잖아 ㅡㅡ"
"139","1","슈퍼맨만있어도 인류를 구할수있는영화에 굳이 다른멤버를 넣어야했나"
"140","2","진짜 ㅈ노잼밸붕에 캐붕에 개연성 박살은 기본에 재미까지 없다 DC는 그냥 영화를 만들지 말자"
"141","1","마블과의 격차를 좁힐수있는 찬스를 여지없이날려버림"
"142","4","포스터부터 똥망포스네"
"143","3","위험에 처한 민간인은 딱 네명스테판 울프는 민간인 피해를 고려해서 외진 곳에서 일을 벌인건가요 끝나고 나란히 위에서서 꽃 피는거 구경하며 이 장면은 놓치지 않아 다행이군 할때 손발 오글 와저스티스 리"
"144","1","신 스테판울프 <<<< 외계인 슈퍼맨이것이 말이 되는가"
"145","4","맨오브 스틸의 조드장군이 얼마나 강력한적이었는지를 알려주는 영화 혼자서는 세계를 구할수없다고 틀렸어 슈퍼맨 아니 크립톤 사람 하나면 인류를 구할수있다"
"146","2","디씨 팬들 고생이많다 이런 희대의 3류 쓰레기영화 실드도 쳐야하고"
"147","4","이 좋은 캐릭과 출연진을 가지고 이정도 수준으로 연출할 수 밖에 없었나"
"148","1","자꾸 마더 마더 엄마 엄청 찾네 악당이란 놈이"
"149","4","영화면 만화적인 색채를 좀빼고 무게감있게 가야지않나 대사만 폼잡는 아동용이네 DC는 다크나이트 반에반만이라도 해라~"
"150","3","저스티스 리그 슈퍼맨"
"151","6","마블팬은 아닙니다만 너무 비교가 되네요 그냥 볼만은 한데 긴장감이 없습니다 ㅠㅠ"
"152","4","너무 성급하고 어색했다 잭 스나이더의 저스티스리그가 보고싶다"
"153","8","그냥 무난했다 노잼도 아니었고 꿀잼도 아니였고"
"154","7","액션만 재미있음 밸런스 엉망 스토리 진부 끝 액션신만으로 7점 줌"
"155","7","전투씬은 볼만하지만 전투가 전부는 아니잖"
"156","7","딱 흥미로운 정도 내용의 개연성이 부족하고 배트맨 대 슈퍼맨에서 마지막 관 클로즈업 떡밥은 개나 줘버리고 여전히 마블을 신경쓰는 느낌 액션씬만 좋았다"
"157","8","FLASH sowhat is your super power    BATMAN  Im rich"
"158","7","기승전슈퍼맨 너무쎄서"
"159","8","기대를 많이 낮추고 봤더니 재밌었다 기대를 많이 많이 낮추면 재밌음"
"160","7","그냥 슈퍼맨 미만잡 DC의 엄마 사랑은 히어로나 빌런이나 정말 한결같다"
"161","6","so so해요  마블이상은 아닌듯  개인적인 차이가 있겠지만 그랴도 헐리웃 영화 cg는  무시못하죠"
"162","10","원작 팬으로서는 이가 갈린다하 전반부에 눈물 흘리고 정신차렸구나ㅜ했는데 역시나였다 뱃 너프 심각 그래도 재미는 있었음 일단 꼰대냄새나는 개그 줘패고싶움"
"163","6","지구의 위기라는데 일반인 피해는 0에 수렴하고 적들은 외곽한적한데서 뭐 해볼려다가 털리고 종말이란 애는 다른 애들 다 바를 실력인데 게릴라만 하다 슈퍼맨 나와서 탈탈 털리고 지구의 모든 힘 <<<"
"164","6","아직까지  내용이  무겁네용~~좀더   힘좀빼자고용~~^^"
"165","6","말도안되 세 종족이서 겨우 막은 애를 슈퍼맨 한명이서 해치운다고 거참"
"166","10","DC가 원더우먼으로 호흡기 붙이고 저스티스리그로 재활치료 시작했네요"
"167","10","원더우먼은 역시 최고네요"
"168","10","슈퍼맨이 개 쎄서 좋았음~ 슈퍼맨이 그래야지"
"169","10","생각보다 재미있었다"
"170","9","토르보다 재밌어서 9점줌"
"171","10","1편때문에 기대치가 낮아저서인지 재미서요"
"172","10","액션이나CG가 정말 괜찮았다 다음 시리즈나 기다려야지"
"173","10","예전 편들보다는 재밌네요~~ 다음편이 너무 기대되는"
"174","10","완전 재밌어요~~슈퍼맨 멋져용♡"
"175","10","신나는 오락영화의 진수"
"176","10","괜찮아요 즐겁게 재미있게 봤음"
"177","10","개꿀잼  그동안 DC욕해서 미안하다 다음편도 기대된다"
"178","10","빠른 전개 굿 이해도 굿 연인보단 친구와함께 뭔가 땅콩또는 팝콘 같은영화"
"179","10","슈퍼맨과 번개맨의 놓칠수 없는 캐미^^"
"180","10","Dc영화중 최근꺼중에 최고 올해 본 마블시리즈보다 훨 재미있음 재미있음"
"181","9","역시 원더우먼 갤 가돗의 매력이 돋보이네요 브루스와의 알쏭달쏭 썸 타는 모습도 귀여워요 ^^"
"182","10","잭스나이더가 어떤 영화를 만드는 감독인지 그대로 보여주는데는 성공"
"183","10","히어로가 한명더나온다는건 호호 새로웟습니다 부담없이 보았습니다"
"184","10","역시믿고보는 영화 기대한만큼 재밌었어요"
"185","10","우와 너무너무 재밌엉 이거 콤보팝콘도 삿당"
"186","9","85를 주고싶지만 평점이 생각보다 낮은거같아서 9점줌 슈퍼맨 쎈거는 좋은데 배트맨이 눈물난다ㅠ"
"187","10","생각없이 그냥 즐기는 영화 잼나게 잘봣어요~~역시 원더우먼 스타일 짱"
"188","10","걍 난재밌더라 취향차이이인듯 ㅎㅎ"
"189","10","늦은시간에 가족들이랑같이 재밌게봤어요 후속이 곧나올듯 기대해봅니다"
"190","10","원더우먼 ♡ 걸크러쉬 ♡♡♡ 재미있어요~~"
"191","9","재미있어요 역시 쿠키영상까지 다보고왔네요"
"192","10","영상 배우 스토리 다 좋았습니다 오늘도 우리 가족영화여행은 성공적이었습니다"
"193","10","DC 입덕영화 원작 팬들은 실망하겠지만 마블도 영화와 원작은 많이 다르다는 것을 감안해주셨으면 해외 언론에서도 캐릭터들의 고유 매력은 잘 살렸다는 분위기입니다 그냥 별 생각없이 보시면 아주 재밌게 볼 수 있"
"194","10","배트맨VS슈퍼맨 원더우먼1편을 모두봐야 좀더 재밌을겁니다 스토리 전개가 다소 느리고 루즈한 면이 있지만 전 개인적으로 괜찮았어요 어벤져스와는 또 다른 매력이 있는 듯^^ 다음편도 기대 플레쉬맨 단독 무비도 기"
"195","10","최고다 최고 영화관 ㅊㅊ"
"196","1","슈퍼맨 없으면 지구는 멸망 다른 히어로들 밸런스 붕괴됐고 악당은 유치하고 캐릭터도 그냥 그렇고배트맨은 밤의 기사에서 돈많은 스폰서 죄책감에 쭈글대는 불쌍한 사람이 됐다배트맨 캐붕 어쩔거임원더우먼 이뻐"
